# node 65
   0.0000E+00    0.0000E+00
   1.2910E-03   -4.4638E-07
   2.5820E-03   -4.0906E-06
   3.8729E-03   -1.4278E-05
   5.1639E-03   -3.1973E-05
   6.4549E-03   -5.7573E-05
   7.7459E-03   -8.9788E-05
   9.0369E-03   -1.2542E-04
   1.0328E-02   -1.6169E-04
   1.1619E-02   -1.9476E-04
   1.2910E-02   -2.2170E-04
   1.4201E-02   -2.4126E-04
   1.5492E-02   -2.5258E-04
   1.6783E-02   -2.5742E-04
   1.8074E-02   -2.5830E-04
   1.9365E-02   -2.5818E-04
   2.0656E-02   -2.6118E-04
   2.1947E-02   -2.6974E-04
   2.3238E-02   -2.8583E-04
   2.4529E-02   -3.1016E-04
   2.5820E-02   -3.4096E-04
   2.7111E-02   -3.7633E-04
   2.8402E-02   -4.1273E-04
   2.9693E-02   -4.4639E-04
   3.0984E-02   -4.7486E-04
   3.2275E-02   -4.9557E-04
   3.3565E-02   -5.0829E-04
   3.4856E-02   -5.1422E-04
   3.6147E-02   -5.1520E-04
   3.7438E-02   -5.1513E-04
   3.8729E-02   -5.1719E-04
   4.0020E-02   -5.2440E-04
   4.1311E-02   -5.3932E-04
   4.2602E-02   -5.6197E-04
   4.3893E-02   -5.9188E-04
   4.5184E-02   -6.2674E-04
   4.6475E-02   -6.6288E-04
   4.7766E-02   -6.9737E-04
   4.9057E-02   -7.2654E-04
   5.0348E-02   -7.4831E-04
   5.1639E-02   -7.6226E-04
   5.2930E-02   -7.6861E-04
   5.4221E-02   -7.7013E-04
   5.5512E-02   -7.6985E-04
   5.6803E-02   -7.7107E-04
   5.8094E-02   -7.7762E-04
   5.9385E-02   -7.9115E-04
   6.0676E-02   -8.1280E-04
   6.1967E-02   -8.4202E-04
   6.3258E-02   -8.7606E-04
   6.4549E-02   -9.1237E-04
   6.5840E-02   -9.4699E-04
   6.7131E-02   -9.7654E-04
   6.8422E-02   -9.9918E-04
   6.9713E-02   -1.0134E-03
   7.1004E-02   -1.0202E-03
   7.2295E-02   -1.0219E-03
   7.3586E-02   -1.0212E-03
   7.4877E-02   -1.0223E-03
   7.6168E-02   -1.0280E-03
   7.7459E-02   -1.0409E-03
   7.8750E-02   -1.0621E-03
   8.0041E-02   -1.0906E-03
   8.1332E-02   -1.1245E-03
   8.2623E-02   -1.1607E-03
   8.3914E-02   -1.1950E-03
   8.5205E-02   -1.2249E-03
   8.6496E-02   -1.2473E-03
   8.7787E-02   -1.2614E-03
   8.9078E-02   -1.2683E-03
   9.0369E-02   -1.2694E-03
   9.1660E-02   -1.2687E-03
   9.2951E-02   -1.2695E-03
   9.4242E-02   -1.2750E-03
   9.5533E-02   -1.2881E-03
   9.6823E-02   -1.3091E-03
   9.8114E-02   -1.3377E-03
   9.9405E-02   -1.3717E-03
   1.0070E-01   -1.4074E-03
   1.0199E-01   -1.4418E-03
   1.0328E-01   -1.4708E-03
   1.0457E-01   -1.4924E-03
   1.0586E-01   -1.5060E-03
   1.0715E-01   -1.5117E-03
   1.0844E-01   -1.5124E-03
   1.0973E-01   -1.5114E-03
   1.1102E-01   -1.5121E-03
   1.1232E-01   -1.5183E-03
   1.1361E-01   -1.5319E-03
   1.1490E-01   -1.5537E-03
   1.1619E-01   -1.5832E-03
   1.1748E-01   -1.6172E-03
